original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1985,3,4596,Battle City,Main Game,Fighting | Puzzle | Shooter,Action,Multiplayer | Single player,Arcade | FM-7 | Family Computer | Nintendo 3DS | Nintendo Entertainment System | Sharp X1 | Wii | Wii U,5.5,297.0,True
1985,4,5668,Commando,Main Game,Shooter,Action | Warfare,Multiplayer | Single player,Acorn Electron | Amiga | Amstrad CPC | Apple II | Arcade | Atari 7800 | Atari ST/STE | BBC Microcomputer System | Commodore 16 | Commodore C64/128/MAX | Commodore Plus/4 | DOS | FM-7 | Intellivision | MSX | PC-8800 Series | Wii | ZX Spectrum,5.5,172.0,True
1985,5,3502,Gauntlet,Main Game,Arcade | Hack and slash/Beat 'em up,Action | Fantasy,Multiplayer | Single player,Amstrad CPC | Apple II | Apple IIGS | Arcade | Atari 8-bit | Atari ST/STE | Commodore C64/128/MAX | DOS | MSX | Mac | Sega Master System/Mark III | Xbox 360 | ZX Spectrum,5.5,153.0,True
1985,6,1476,Gradius,Main Game,Arcade | Shooter,Action | Science fiction,Multiplayer | Single player,Arcade | Sharp X68000,5.5,148.0,True
1985,7,2878,Ultima IV: Quest of the Avatar,Main Game,Role-playing (RPG),Fantasy | Open world,Single player,Apple II,5.5,114.0,True
1985,8,12857,Space Harrier,Main Game,Arcade | Shooter,Action | Science fiction,Single player,Arcade | Legacy Mobile Device | Sega 32X | Sega Saturn | Wii,5.5,99.0,True
1985,9,12268,Winter Games,Main Game,Sport,Action,Multiplayer | Single player,Commodore C64/128/MAX | Wii,2.0,97.0,True
1985,10,86375,Soccer,Main Game,Sport,Non-fiction,Multiplayer | Single player,Family Computer | Family Computer Disk System | Nintendo Entertainment System | Wii | Wii U,1.0,96.0,True
1985,11,251,Where in the World Is Carmen Sandiego?,Main Game,Adventure | Puzzle,Educational | Kids | Mystery,Single player,Apple II | Commodore C64/128/MAX | DOS | TRS-80 Color Computer,5.5,94.0,True
1985,12,1288,Gun.Smoke,Main Game,Arcade | Shooter,Action,Multiplayer | Single player,Amstrad CPC | Arcade | Commodore C64/128/MAX | MSX | Sega Master System/Mark III | ZX Spectrum,5.5,87.0,True
1985,13,852,King's Quest II: Romancing the Throne,Main Game,Adventure | Point-and-click | Puzzle,Fantasy,Single player,Amiga | Apple II | Apple IIGS | Atari ST/STE | DOS | Mac,5.5,87.0,True
1985,14,41420,Wrecking Crew,Main Game,Adventure | Arcade | Platform | Puzzle,Action | Comedy,Multiplayer | Single player,Family Computer | Family Computer Disk System | Game Boy Advance | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,87.0,True
1985,15,90990,Rush'n Attack,Main Game,Arcade | Shooter,Action | Warfare,Multiplayer | Single player,Amstrad CPC | Arcade | Atari 8-bit | BBC Microcomputer System | Commodore 16 | Commodore C64/128/MAX | DOS | MSX | Xbox 360 | ZX Spectrum,5.5,80.0,True
1986,1,1022,The Legend of Zelda,Main Game,Adventure,Action | Fantasy | Open world,Single player,Family Computer | Family Computer Disk System | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,2181.0,True
1986,2,1114,Castlevania,Main Game,Hack and slash/Beat 'em up | Platform,Action | Horror,Single player,Arcade | Family Computer Disk System | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,1026.0,True
1986,3,2630,Bubble Bobble,Main Game,Arcade | Platform | Puzzle,Action | Fantasy | Kids,Co-operative | Multiplayer | Single player,Arcade,5.5,393.0,True
