population,scheme,period_start,period_label,archetype,share_pct
all_rows_missing_visibility_equal,equal,1990,1990–1994,Sage/Investigator,7.430576416566273
all_rows_missing_visibility_equal,equal,1995,1995–1999,Caregiver/Guardian,3.7751162210335565
all_rows_missing_visibility_equal,equal,1995,1995–1999,Creator/Artist,4.3201547192289755
all_rows_missing_visibility_equal,equal,1995,1995–1999,Everyman/Orphan,5.29384758793153
all_rows_missing_visibility_equal,equal,1995,1995–1999,Explorer/Seeker,26.588393281426683
all_rows_missing_visibility_equal,equal,1995,1995–1999,Hero/Warrior,28.7101597713513
all_rows_missing_visibility_equal,equal,1995,1995–1999,Innocent,2.167397734659443
all_rows_missing_visibility_equal,equal,1995,1995–1999,Jester/Trickster,2.278032564317268
all_rows_missing_visibility_equal,equal,1995,1995–1999,Lover,2.819440880671052
all_rows_missing_visibility_equal,equal,1995,1995–1999,Magician/Transformer,6.619128177831335
all_rows_missing_visibility_equal,equal,1995,1995–1999,Rebel/Outlaw,2.0714918350405234
all_rows_missing_visibility_equal,equal,1995,1995–1999,Ruler/Leader,5.487398815813061
all_rows_missing_visibility_equal,equal,1995,1995–1999,Sage/Investigator,9.612429631740516
all_rows_missing_visibility_equal,equal,2000,2000–2004,Caregiver/Guardian,3.6391305501539266
all_rows_missing_visibility_equal,equal,2000,2000–2004,Creator/Artist,3.303457875848867
all_rows_missing_visibility_equal,equal,2000,2000–2004,Everyman/Orphan,5.852193995067118
all_rows_missing_visibility_equal,equal,2000,2000–2004,Explorer/Seeker,27.248506829099853
all_rows_missing_visibility_equal,equal,2000,2000–2004,Hero/Warrior,30.387186847113146
all_rows_missing_visibility_equal,equal,2000,2000–2004,Innocent,2.0384530596598807
all_rows_missing_visibility_equal,equal,2000,2000–2004,Jester/Trickster,2.509032744683296
all_rows_missing_visibility_equal,equal,2000,2000–2004,Lover,3.1549310913782196
all_rows_missing_visibility_equal,equal,2000,2000–2004,Magician/Transformer,6.182715244770357
all_rows_missing_visibility_equal,equal,2000,2000–2004,Rebel/Outlaw,2.300395335304277
all_rows_missing_visibility_equal,equal,2000,2000–2004,Ruler/Leader,5.049592366525497
all_rows_missing_visibility_equal,equal,2000,2000–2004,Sage/Investigator,7.988845654762924
all_rows_missing_visibility_equal,equal,2005,2005–2009,Caregiver/Guardian,3.4330203160654555
all_rows_missing_visibility_equal,equal,2005,2005–2009,Creator/Artist,3.8068499143941743
all_rows_missing_visibility_equal,equal,2005,2005–2009,Everyman/Orphan,5.993241301217705
all_rows_missing_visibility_equal,equal,2005,2005–2009,Explorer/Seeker,26.459382219680595
all_rows_missing_visibility_equal,equal,2005,2005–2009,Hero/Warrior,28.900874198587463
all_rows_missing_visibility_equal,equal,2005,2005–2009,Innocent,1.895597738093068
all_rows_missing_visibility_equal,equal,2005,2005–2009,Jester/Trickster,3.0399441636803624
all_rows_missing_visibility_equal,equal,2005,2005–2009,Lover,4.063568503726453
all_rows_missing_visibility_equal,equal,2005,2005–2009,Magician/Transformer,5.1426520892561065
all_rows_missing_visibility_equal,equal,2005,2005–2009,Rebel/Outlaw,2.695666990260267
all_rows_missing_visibility_equal,equal,2005,2005–2009,Ruler/Leader,5.063816821518016
all_rows_missing_visibility_equal,equal,2005,2005–2009,Sage/Investigator,8.95365235453816
all_rows_missing_visibility_equal,equal,2010,2010–2014,Caregiver/Guardian,2.889309123089034
all_rows_missing_visibility_equal,equal,2010,2010–2014,Creator/Artist,4.184015822840719
all_rows_missing_visibility_equal,equal,2010,2010–2014,Everyman/Orphan,7.633669902283738
all_rows_missing_visibility_equal,equal,2010,2010–2014,Explorer/Seeker,26.638343157007505
all_rows_missing_visibility_equal,equal,2010,2010–2014,Hero/Warrior,25.260704504708556
all_rows_missing_visibility_equal,equal,2010,2010–2014,Innocent,1.6775065956982895
all_rows_missing_visibility_equal,equal,2010,2010–2014,Jester/Trickster,3.0425248403884764
all_rows_missing_visibility_equal,equal,2010,2010–2014,Lover,4.888079973070722
all_rows_missing_visibility_equal,equal,2010,2010–2014,Magician/Transformer,5.313253611906586
all_rows_missing_visibility_equal,equal,2010,2010–2014,Rebel/Outlaw,3.498649756530514
all_rows_missing_visibility_equal,equal,2010,2010–2014,Ruler/Leader,5.032462824869063
all_rows_missing_visibility_equal,equal,2010,2010–2014,Sage/Investigator,8.791298858681884
all_rows_missing_visibility_equal,equal,2015,2015–2019,Caregiver/Guardian,2.590285032961748
all_rows_missing_visibility_equal,equal,2015,2015–2019,Creator/Artist,4.086385548304862
all_rows_missing_visibility_equal,equal,2015,2015–2019,Everyman/Orphan,9.351363834239484
all_rows_missing_visibility_equal,equal,2015,2015–2019,Explorer/Seeker,27.29587419571668
all_rows_missing_visibility_equal,equal,2015,2015–2019,Hero/Warrior,21.7167619929864
all_rows_missing_visibility_equal,equal,2015,2015–2019,Innocent,1.8496567974062823
all_rows_missing_visibility_equal,equal,2015,2015–2019,Jester/Trickster,3.8119817156234235
all_rows_missing_visibility_equal,equal,2015,2015–2019,Lover,3.730867771752016
all_rows_missing_visibility_equal,equal,2015,2015–2019,Magician/Transformer,5.576890812739711
all_rows_missing_visibility_equal,equal,2015,2015–2019,Rebel/Outlaw,5.011823983157586
all_rows_missing_visibility_equal,equal,2015,2015–2019,Ruler/Leader,4.766910827267266
all_rows_missing_visibility_equal,equal,2015,2015–2019,Sage/Investigator,7.4670557168048735
all_rows_missing_visibility_equal,equal,2020,2020–2024,Caregiver/Guardian,2.8751311883343424
all_rows_missing_visibility_equal,equal,2020,2020–2024,Creator/Artist,3.7315635164419367
all_rows_missing_visibility_equal,equal,2020,2020–2024,Everyman/Orphan,10.300995076511608
all_rows_missing_visibility_equal,equal,2020,2020–2024,Explorer/Seeker,31.53382313599051
all_rows_missing_visibility_equal,equal,2020,2020–2024,Hero/Warrior,21.835714715018447
all_rows_missing_visibility_equal,equal,2020,2020–2024,Innocent,1.6226476929819214
all_rows_missing_visibility_equal,equal,2020,2020–2024,Jester/Trickster,2.647862087848933
all_rows_missing_visibility_equal,equal,2020,2020–2024,Lover,3.912751805799844
all_rows_missing_visibility_equal,equal,2020,2020–2024,Magician/Transformer,4.667490045711188
all_rows_missing_visibility_equal,equal,2020,2020–2024,Rebel/Outlaw,3.7189397189348092
all_rows_missing_visibility_equal,equal,2020,2020–2024,Ruler/Leader,4.200739358939098
all_rows_missing_visibility_equal,equal,2020,2020–2024,Sage/Investigator,7.093381096296412
all_rows_missing_visibility_equal,equal,2025,2025,Caregiver/Guardian,2.628009514079248
all_rows_missing_visibility_equal,equal,2025,2025,Creator/Artist,3.766048622523763
all_rows_missing_visibility_equal,equal,2025,2025,Everyman/Orphan,11.340950557190816
all_rows_missing_visibility_equal,equal,2025,2025,Explorer/Seeker,36.167413947862784
all_rows_missing_visibility_equal,equal,2025,2025,Hero/Warrior,22.543331836756245
all_rows_missing_visibility_equal,equal,2025,2025,Innocent,1.088745576839236
all_rows_missing_visibility_equal,equal,2025,2025,Jester/Trickster,1.5053657249330843
all_rows_missing_visibility_equal,equal,2025,2025,Lover,2.837568319580372
all_rows_missing_visibility_equal,equal,2025,2025,Magician/Transformer,4.149996481884442
all_rows_missing_visibility_equal,equal,2025,2025,Rebel/Outlaw,2.8357893049058958
all_rows_missing_visibility_equal,equal,2025,2025,Ruler/Leader,3.580232820562764
all_rows_missing_visibility_equal,equal,2025,2025,Sage/Investigator,6.807513691285531
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Caregiver/Guardian,6.315789473684211
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Creator/Artist,21.703134240094617
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Everyman/Orphan,11.727713287501409
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Explorer/Seeker,28.975951113739402
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Hero/Warrior,43.38360493539505
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Innocent,11.270145384875464
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Magician/Transformer,12.63157894736842
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Rebel/Outlaw,5.913660555884092
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Ruler/Leader,12.631578947368423
all_rows_missing_visibility_equal,log_cap_p99,1970,1970–1974,Sage/Investigator,8.763521536319205
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Caregiver/Guardian,3.3762213306908615
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Creator/Artist,9.922909130819908
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Everyman/Orphan,6.12003147984685
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Explorer/Seeker,24.730944041602168
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Hero/Warrior,41.908679224692165
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Innocent,3.274110965728599
all_rows_missing_visibility_equal,log_cap_p99,1975,1975–1979,Lover,1.3662653894615395
