population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,log_cap_p99,1980s,Creator/Artist,3.6395898085161766
all_rows_missing_visibility_equal,log_cap_p99,1980s,Everyman/Orphan,5.260217910259582
all_rows_missing_visibility_equal,log_cap_p99,1980s,Explorer/Seeker,23.338631345970718
all_rows_missing_visibility_equal,log_cap_p99,1980s,Hero/Warrior,38.070312345049146
all_rows_missing_visibility_equal,log_cap_p99,1980s,Innocent,0.7178882936398971
all_rows_missing_visibility_equal,log_cap_p99,1980s,Jester/Trickster,1.0927722709144763
all_rows_missing_visibility_equal,log_cap_p99,1980s,Lover,1.2544927571822924
all_rows_missing_visibility_equal,log_cap_p99,1980s,Magician/Transformer,6.6809017892846985
all_rows_missing_visibility_equal,log_cap_p99,1980s,Rebel/Outlaw,1.8331462928305768
all_rows_missing_visibility_equal,log_cap_p99,1980s,Ruler/Leader,5.313499397262005
all_rows_missing_visibility_equal,log_cap_p99,1980s,Sage/Investigator,9.3913988351849
all_rows_missing_visibility_equal,log_cap_p99,1980s,Uncertain,0.7840138592061627
all_rows_missing_visibility_equal,log_cap_p99,1990s,Caregiver/Guardian,3.037794878226639
all_rows_missing_visibility_equal,log_cap_p99,1990s,Creator/Artist,3.2817923567642304
all_rows_missing_visibility_equal,log_cap_p99,1990s,Everyman/Orphan,5.215437042381727
all_rows_missing_visibility_equal,log_cap_p99,1990s,Explorer/Seeker,24.31230280033358
all_rows_missing_visibility_equal,log_cap_p99,1990s,Hero/Warrior,31.432987671206934
all_rows_missing_visibility_equal,log_cap_p99,1990s,Innocent,2.084981078737309
all_rows_missing_visibility_equal,log_cap_p99,1990s,Jester/Trickster,2.90576308266534
all_rows_missing_visibility_equal,log_cap_p99,1990s,Lover,2.0426116301150636
all_rows_missing_visibility_equal,log_cap_p99,1990s,Magician/Transformer,6.649207410322626
all_rows_missing_visibility_equal,log_cap_p99,1990s,Rebel/Outlaw,3.1156260911969484
all_rows_missing_visibility_equal,log_cap_p99,1990s,Ruler/Leader,5.963218367301991
all_rows_missing_visibility_equal,log_cap_p99,1990s,Sage/Investigator,8.941171905585872
all_rows_missing_visibility_equal,log_cap_p99,1990s,Uncertain,1.130117427957487
all_rows_missing_visibility_equal,log_cap_p99,2000s,Caregiver/Guardian,2.570150240971628
all_rows_missing_visibility_equal,log_cap_p99,2000s,Creator/Artist,3.048217165816329
all_rows_missing_visibility_equal,log_cap_p99,2000s,Everyman/Orphan,6.044883077272631
all_rows_missing_visibility_equal,log_cap_p99,2000s,Explorer/Seeker,22.835824652517896
all_rows_missing_visibility_equal,log_cap_p99,2000s,Hero/Warrior,28.033868937883597
all_rows_missing_visibility_equal,log_cap_p99,2000s,Innocent,1.7196573084017674
all_rows_missing_visibility_equal,log_cap_p99,2000s,Jester/Trickster,3.5248218110425946
all_rows_missing_visibility_equal,log_cap_p99,2000s,Lover,2.4587701855527078
all_rows_missing_visibility_equal,log_cap_p99,2000s,Magician/Transformer,5.224319605383843
all_rows_missing_visibility_equal,log_cap_p99,2000s,Rebel/Outlaw,5.735932588828755
all_rows_missing_visibility_equal,log_cap_p99,2000s,Ruler/Leader,6.87149184306173
all_rows_missing_visibility_equal,log_cap_p99,2000s,Sage/Investigator,9.349552323269613
all_rows_missing_visibility_equal,log_cap_p99,2000s,Uncertain,2.582510259996906
all_rows_missing_visibility_equal,log_cap_p99,2010s,Caregiver/Guardian,2.365387752000578
all_rows_missing_visibility_equal,log_cap_p99,2010s,Creator/Artist,4.4031600086304845
all_rows_missing_visibility_equal,log_cap_p99,2010s,Everyman/Orphan,9.864054594745706
all_rows_missing_visibility_equal,log_cap_p99,2010s,Explorer/Seeker,19.96643179909657
all_rows_missing_visibility_equal,log_cap_p99,2010s,Hero/Warrior,21.37729467420317
all_rows_missing_visibility_equal,log_cap_p99,2010s,Innocent,2.310320274270181
all_rows_missing_visibility_equal,log_cap_p99,2010s,Jester/Trickster,5.690916159804436
all_rows_missing_visibility_equal,log_cap_p99,2010s,Lover,3.186251353715805
all_rows_missing_visibility_equal,log_cap_p99,2010s,Magician/Transformer,5.34151499720542
all_rows_missing_visibility_equal,log_cap_p99,2010s,Rebel/Outlaw,7.263254067037797
all_rows_missing_visibility_equal,log_cap_p99,2010s,Ruler/Leader,5.627611585938427
all_rows_missing_visibility_equal,log_cap_p99,2010s,Sage/Investigator,8.20774759803453
all_rows_missing_visibility_equal,log_cap_p99,2010s,Uncertain,4.396055135316899
all_rows_missing_visibility_equal,log_cap_p99,2020s,Caregiver/Guardian,2.9841924959764525
all_rows_missing_visibility_equal,log_cap_p99,2020s,Creator/Artist,5.002128710626695
all_rows_missing_visibility_equal,log_cap_p99,2020s,Everyman/Orphan,11.69438551039613
all_rows_missing_visibility_equal,log_cap_p99,2020s,Explorer/Seeker,22.723477402337256
all_rows_missing_visibility_equal,log_cap_p99,2020s,Hero/Warrior,19.144840008744747
all_rows_missing_visibility_equal,log_cap_p99,2020s,Innocent,2.251527583333849
all_rows_missing_visibility_equal,log_cap_p99,2020s,Jester/Trickster,4.5134161452303845
all_rows_missing_visibility_equal,log_cap_p99,2020s,Lover,3.4909985634991436
all_rows_missing_visibility_equal,log_cap_p99,2020s,Magician/Transformer,5.467459803852822
all_rows_missing_visibility_equal,log_cap_p99,2020s,Rebel/Outlaw,6.360762843150757
all_rows_missing_visibility_equal,log_cap_p99,2020s,Ruler/Leader,5.116770519268827
all_rows_missing_visibility_equal,log_cap_p99,2020s,Sage/Investigator,7.058563500825301
all_rows_missing_visibility_equal,log_cap_p99,2020s,Uncertain,4.191476912757638
all_rows_missing_visibility_equal,log_reviews,1980s,Caregiver/Guardian,3.438024795076359
all_rows_missing_visibility_equal,log_reviews,1980s,Creator/Artist,3.6395898085161766
all_rows_missing_visibility_equal,log_reviews,1980s,Everyman/Orphan,5.260217910259582
all_rows_missing_visibility_equal,log_reviews,1980s,Explorer/Seeker,23.338631345970718
all_rows_missing_visibility_equal,log_reviews,1980s,Hero/Warrior,38.070312345049146
all_rows_missing_visibility_equal,log_reviews,1980s,Innocent,0.7178882936398971
all_rows_missing_visibility_equal,log_reviews,1980s,Jester/Trickster,1.0927722709144763
all_rows_missing_visibility_equal,log_reviews,1980s,Lover,1.2544927571822924
all_rows_missing_visibility_equal,log_reviews,1980s,Magician/Transformer,6.6809017892846985
all_rows_missing_visibility_equal,log_reviews,1980s,Rebel/Outlaw,1.8331462928305768
all_rows_missing_visibility_equal,log_reviews,1980s,Ruler/Leader,5.313499397262005
all_rows_missing_visibility_equal,log_reviews,1980s,Sage/Investigator,9.3913988351849
all_rows_missing_visibility_equal,log_reviews,1980s,Uncertain,0.7840138592061627
all_rows_missing_visibility_equal,log_reviews,1990s,Caregiver/Guardian,3.0371994147631476
all_rows_missing_visibility_equal,log_reviews,1990s,Creator/Artist,3.2811906720882456
all_rows_missing_visibility_equal,log_reviews,1990s,Everyman/Orphan,5.217463743270221
all_rows_missing_visibility_equal,log_reviews,1990s,Explorer/Seeker,24.307308076936103
all_rows_missing_visibility_equal,log_reviews,1990s,Hero/Warrior,31.43366302296898
all_rows_missing_visibility_equal,log_reviews,1990s,Innocent,2.084580529699285
all_rows_missing_visibility_equal,log_reviews,1990s,Jester/Trickster,2.905053106764961
all_rows_missing_visibility_equal,log_reviews,1990s,Lover,2.0419183502798366
all_rows_missing_visibility_equal,log_reviews,1990s,Magician/Transformer,6.648202567321934
all_rows_missing_visibility_equal,log_reviews,1990s,Rebel/Outlaw,3.114503591275242
all_rows_missing_visibility_equal,log_reviews,1990s,Ruler/Leader,5.961652320286824
all_rows_missing_visibility_equal,log_reviews,1990s,Sage/Investigator,8.950477822344224
all_rows_missing_visibility_equal,log_reviews,1990s,Uncertain,1.129763091112216
all_rows_missing_visibility_equal,log_reviews,2000s,Caregiver/Guardian,2.5714651656597693
all_rows_missing_visibility_equal,log_reviews,2000s,Creator/Artist,3.0451084534211903
all_rows_missing_visibility_equal,log_reviews,2000s,Everyman/Orphan,6.060498750332804
all_rows_missing_visibility_equal,log_reviews,2000s,Explorer/Seeker,22.814981106179765
all_rows_missing_visibility_equal,log_reviews,2000s,Hero/Warrior,28.030780080652725
